INSERT INTO Customers (cname, cphone, caddress, cemail, cpwd) VALUES (Imani Rose','7534872145','614-8616 Hendrerit Road','facilisis.suspendisse@protonmail.edu','IQC39HOT7XK');
INSERT INTO Customers (cname, cphone, caddress, cemail, cpwd) VALUES (Lavinia Johns','7475211578','336-2796 Enim Rd.','velit@google.edu','SHX53XOK1YR');
INSERT INTO Customers (cname, cphone, caddress, cemail, cpwd) VALUES (Nigel Norman','7128096686','352-2595 Curabitur Street','feugiat.sed.nec@yahoo.edu','YLA85MLB2SV');
INSERT INTO Customers (cname, cphone, caddress, cemail, cpwd) VALUES (Genevieve Mcclain','8331769937','Ap #500-9940 Risus Rd.','varius.nam.porttitor@hotmail.net','FOD64OLR8RV');
INSERT INTO Customers (cname, cphone, caddress, cemail, cpwd) VALUES (Gareth Aguirre','4866864226','659-8198 Malesuada Rd.','montes@aol.ca','VHM14JSF7JW');
INSERT INTO Customers (cname, cphone, caddress, cemail, cpwd) VALUES (Melissa Burris','7782302307','1088 Ante Rd.','ut.pharetra.sed@icloud.ca','PMH57VIN5YC');
INSERT INTO Customers (cname, cphone, caddress, cemail, cpwd) VALUES (Risa Hancock','5817711795','471-6027 Lacinia. St.','luctus@hotmail.couk','XNN35UZB1JN');
INSERT INTO Customers (cname, cphone, caddress, cemail, cpwd) VALUES (Ali Lang','5766772583','5276 Accumsan Av.','dolor@protonmail.edu','LXJ71NJD8PU');
INSERT INTO Customers (cname, cphone, caddress, cemail, cpwd) VALUES (Irma Riley','5725336686','Ap #993-6692 Egestas. Road','morbi.neque@aol.org','QLZ01ESK1RN');
INSERT INTO Customers (cname, cphone, caddress, cemail, cpwd) VALUES (Shannon Burt','6535851949','Ap #209-5208 Integer Ave','non@google.net','BRP13VAB3NE');
INSERT INTO Customers (cname, cphone, caddress, cemail, cpwd) VALUES (Rose West','3316867801','354-8528 Iaculis Road','molestie@protonmail.couk','NCM32NJY4UW');
INSERT INTO Customers (cname, cphone, caddress, cemail, cpwd) VALUES (Edward Langley','5637319321','Ap #998-870 Donec St.','bibendum.fermentum@icloud.edu','GJU57SOC5NV');
